days,valus,params,countrycode,SRC
21.8966,2.96867,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.1724,1.66142,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.5172,0.355608,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
22.8621,-0.512537,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.2759,-0.503913,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.4138,-1.81404,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.6897,-1.80829,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
23.9655,-2.2402,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.1724,-3.98655,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.2414,-6.17345,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.4483,-7.48213,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.5172,-9.23136,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.7931,-10.9763,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
24.8621,-13.1632,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25,-14.911,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.069,-16.6602,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.2759,-17.9689,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.5517,-20.1514,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
25.7586,-21.8978,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.1034,-24.0789,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.3793,-24.9485,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.5172,-26.2586,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
26.931,-28.876,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.069,-30.6238,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.3448,-32.8064,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.3448,-34.557,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.4138,-36.3063,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.6897,-38.0512,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.8276,-40.6743,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
27.9655,-42.8598,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.1034,-45.9205,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.1724,-48.1074,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.2414,-49.419,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.4483,-51.1653,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.5172,-52.4769,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.7241,-55.0986,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
28.8621,-57.7217,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29,-56.4058,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.069,-53.7784,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.2759,-52.0234,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.2759,-50.2728,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.4138,-48.0816,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.5517,-45.8904,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.5517,-43.702,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.6897,-41.0732,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.7586,-39.3211,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.8276,-37.1313,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
29.8966,-35.8169,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.1034,-36.6879,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.3103,-37.5589,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.4483,-38.869,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
30.7931,-40.6125,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.069,-41.0444,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.4138,-42.3502,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.8276,-42.7793,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
31.8966,-42.7778,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
32.1724,-42.7721,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
32.6552,-43.1997,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
32.8621,-42.7577,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.2069,-42.3129,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.4138,-40.9955,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.6207,-40.5536,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.8276,-40.5493,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
33.8966,-40.1102,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.0345,-40.9826,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.1724,-42.7304,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.3793,-44.0391,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.3793,-45.7897,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.5172,-46.2245,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.7931,-48.4071,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.8621,-51.4693,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
34.931,-54.5316,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.1379,-55.8402,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.1379,-58.0286,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.1379,-60.2169,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.2069,-61.9661,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.3448,-64.1516,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.3448,-65.9022,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.4138,-67.2138,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.5517,-69.3993,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.5517,-71.1499,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.6207,-73.3368,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.6207,-75.0875,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.7586,-77.7106,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.8966,-79.4584,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
35.8966,-81.6467,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.0345,-77.2672,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
36.1724,-75.5136,Grossary & pharma,ITA,2020-03-29_IT_Mobility_Report_en.pdf
